Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,Vehicle Revenue Hours, Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
Pace - Suburban Bus Division,Arlington Heights,IL,5113,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,467",DR,PT,241,,0,,14.52,,6.5,,2.54,,0,,"3,195,135",,2574848,,"620,287",,"216,828",,177375,,"39,453",,0,,0,,0,,0,,450946,,"2,928,989",,0,,No
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",VP,PT,222,,0,,35.23,,29.44,,5.01,,0,,"2,792,734",,2792734,,0,,"79,267",,79267,,0,,0,,0,,0,,0,,397168,,"11,690,988",,0,,No
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",MB,PT,148,,0,,12.61,,3.82, W ,7.96,,"3,240,293",,"3,741,983",,3013661,,"728,322",,"295,296",,238990,,"56,306",,0,,0,,0,,0,,1902564,,"7,262,087",W,601.8,,Yes
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",MG,DO,21,,17,,10.2,,0.94, W ,58.65,,"1,049,369",,"1,036,969",,998645,,"38,324",,"101,664",,97906,,"3,758",,"829,575",,"796,436",,"81,331",,"78,082",,5741996,,"5,393,498",W,8.5,,Yes
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",MB,DO,592,,0,,14.2,,5.07, W ,22.04,,"23,716,226",,"30,601,758",,22582743,,"8,019,015",,"1,932,364",,1590691,,"341,673",,0,,0,,0,,0,,35064169,,"177,915,594",W,"1,852.30",,Yes
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",HR,DO,76,,18,,21.76,,7.38, W ,35.96,,"7,212,362",,"7,598,157",,7178627,,"419,530",,"362,201",,329867,,"32,334",,"1,899,556",,"1,794,673",,"90,549",,"82,465",,11862059,,"87,578,321",W,49.8,,Yes
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",DR,PT,384,,0,,12.18,,11.6,,1.27,,0,,"12,841,746",,11177390,,"1,664,356",,"1,062,501",,917428,,"145,073",,0,,0,,0,,0,,1163150,,"13,490,173",,0,,No
"County of Miami-Dade, dba: Transportation & Public Work",Miami,FL,4034,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"5,502,379","1,452",CB,PT,9,,0,,32.46,,38.73,,8.47,,"1,041,016",,"1,025,251",,1019760,,"5,491",,"33,324",,31415,,"1,909",,0,,0,,0,,0,,266073,,"10,305,165",,142,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,431",MB,PT,342,,0,,11.91,,4.06,,13.2,,"11,342,063",,"13,145,967",,11312663,,"1,833,304",,"1,035,847",,950183,,"85,664",,0,,0,,0,,0,,12540545,,"50,971,484",,"1,174.30",,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,431",MB,DO,472,,0,,12.51,,4.46,,19.11,,"15,632,022",,"18,603,530",,15585126,,"3,018,404",,"1,356,066",,1246135,,"109,931",,0,,0,,0,,0,,23818219,,"106,209,833",,"2,355.70",,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,431",LR,DO,156,,41,,17.2,,6.97,,19.86,,"9,004,264",,"9,327,859",,9063803,,"264,056",,"590,892",,526960,,"63,932",,"3,900,081",,"3,745,938",,"267,096",,"226,007",,10464678,,"72,910,951",,119.8,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,431",DR,PT,409,,0,,14.37,,7.63,,1.3,,0,,"7,782,448",,5929705,,"1,852,743",,"605,388",,412763,,"192,625",,0,,0,,0,,0,,537078,,"4,100,442",,0,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,431",CR,PT,44,,12,,27.56,,11.52,,21.78,,"6,222,945",,"6,197,643",,6048702,,"148,941",,"228,257",,219449,,"8,808",,"2,010,537",,"1,917,204",,"74,540",,"70,293",,4780402,,"55,053,882",,72.8,,No
Denver Regional Transportation District,Denver,CO,8006,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,"2,374,203","1,431",CR,DO,8,,3,,20.48,,8.61,,18.02,,"203,262",,"223,786",,197570,,"26,216",,"12,511",,9645,,"2,866",,"115,030",,"98,743",,"6,243",,"4,937",,173765,,"1,496,661",,26.3,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",MB,PT,166,,0,,12.06,,3.61, W ,17.14, W ,"6,471,426",,"8,174,938",,6460025,,"1,714,913",,"587,485",,535547,,"51,938",,0,,0,,0,,0,,9180409, W ,"33,155,112",W,"1,115.00",,Yes
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",VP,PT,490,,0,,37.18,,33.66,,4.95,,0,,"6,877,486",,6877486,,0,,"184,965",,184965,,0,,0,,0,,0,,0,,914713,,"30,786,275",,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",MB,DO,243,,0,,11.49,,3.53, W ,24.06, W ,"10,275,034",,"12,199,917",,10265530,,"1,934,387",,"958,071",,893305,,"64,766",,0,,0,,0,,0,,21490094, W ,"75,780,919",W,823.1,,Yes
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",DR,TX,264,,0,,19.92,,9.5,,2.54,,0,,0,,3920962,,0,,0,,196877,,0,,0,,0,,0,,0,,500318,,"4,750,697",,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",DR,PT,127,,0,,13.92,,10.49,,1.89,,0,,"6,938,755",,5657340,,"1,281,415",,"492,185",,406346,,"85,839",,0,,0,,0,,0,,768111,,"8,054,631",,0,,No
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",CB,PT,15,,0,,22.1,,24.69, W ,6.93, W ,"177,283",,"336,617",,177098,,"159,519",,"12,935",,8012,,"4,923",,0,,0,,0,,0,,55488, W ,"1,369,832",W,250.6,,Yes
Orange County Transportation Authority,Orange,CA,9036,90036,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,330",CB,DO,25,,0,,24.15,,18.38, W ,14.36, W ,"168,094",,"271,112",,168044,,"103,068",,"10,477",,6957,,"3,520",,0,,0,,0,,0,,99914, W ,"1,836,806",W,276.1,,Yes
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,5182,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,217",DR,TX,370,,0,,18.48,,12.01,,2,,0,,0,,1535075,,0,,0,,83073,,0,,0,,0,,0,,0,,165883,,"1,991,800",,0,,No
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,5182,50182,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,217",DR,PT,847,,0,,14.47,,7.59,,1.42,,0,,"24,660,150",,20188198,,"4,471,952",,"1,690,411",,1394724,,"295,687",,0,,0,,0,,0,,1985090,,"15,071,293",,0,,No
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,2078,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,133",MB,PT,9,,0,,3.3,,0.71,,3.91,,"88,310",,"166,942",,93785,,"73,157",,"33,054",,28446,,"4,608",,0,,0,,0,,0,,111318,,"79,024",,22.1,,No
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,2078,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,133",FB,PT,2,,0,,11.52,,4.08,,29.17,,"13,902",,"13,902",,13902,,0,,"1,207",,1207,,0,,0,,0,,0,,0,,35206,,"143,556",,13.2,,No
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,2078,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,133",CR,DO,"1,122",,135,,31.3,,22.85, W ,18.88,,"47,488,237",,"53,139,671",,48719168,,"4,420,503",,"1,709,469",,1556539,,"152,930",,"7,201,726",,"6,564,652",,"225,218",,"203,440",,29391259,,"671,661,254",W,545.7,,Yes
Access Services,El Monte,CA,9157,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,132",DR,TX,496,,0,,22.03,,14.06,,2.71,,0,,0,,12735268,,0,,0,,578137,,0,,0,,0,,0,,0,,1568456,,"22,059,772",,0,,No
Access Services,El Monte,CA,9157,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","1,132",DR,PT,636,,0,,15.46,,11.19,,1.58,,0,,"25,466,685",,20359802,,"5,106,883",,"1,688,013",,1316547,,"371,466",,0,,0,,0,,0,,2081026,,"23,286,133",,0,,No
MTA Bus Company,New York,NY,2188,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,121",MB,DO,"1,121",,0,,7.92,,2.79, W ,22.22,,"26,913,356",,"35,401,517",,25869531,,"9,531,986",,"3,988,310",,3265126,,"723,184",,0,,0,,0,,0,,72562171,,"202,709,642",W,810.9,,Yes
Puerto Rico Highway and Transportation Authority - Público,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,"2,148,346","1,113",PB,PT,"1,113",,0,,10.48,,4.52,,10.7,,0,,"8,903,113",,8209461,,"693,652",,"848,492",,783652,,"64,840",,0,,0,,0,,0,,8385516,,"37,870,980",,0,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",VP,PT,164,,0,,38.67,,36.81,,6.32,,0,,"1,423,846",,1423846,,0,,"36,820",,36820,,0,,0,,0,,0,,0,,232710,,"8,566,316",,0,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",SR,DO,2,,2,,6.93,,1.55,,14.23,,"92,489",,"93,660",,92227,,"1,433",,"13,474",,13307,,167,,"93,660",,"92,227",,"13,474",,"13,307",,189420,,"294,412",,4.7,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",MB,DO,557,,0,,12.46,,4.09,,12.73,,"27,006,344",,"30,606,012",,26895603,,"3,710,409",,"2,309,609",,2157762,,"151,847",,0,,0,,0,,0,,27472695,,"112,289,224",,"1,539.10",,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",LR,DO,117,,44,,20.51,,8.18,,41.74,,"9,953,657",,"9,937,246",,9866803,,"70,443",,"486,886",,481071,,"5,815",,"5,348,975",,"5,310,292",,"261,692",,"258,495",,20081036,,"164,306,746",,182.4,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",DR,TX,123,,0,,15.39,,10.54,,1.24,,0,,0,,5804395,,0,,0,,377154,,0,,0,,0,,0,,0,,468967,,"4,942,990",,0,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",DR,PT,96,,0,,12.77,,7.33,,1.61,,0,,"2,207,523",,1843118,,"364,405",,"178,382",,144284,,"34,098",,0,,0,,0,,0,,232926,,"1,708,110",,0,,No
Dallas Area Rapid Transit,Dallas,TX,6056,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,121,892","1,082",CR,PT,23,,3,,22.47,,17.3,,20.25,,"1,390,207",,"1,437,340",,1404961,,"32,379",,"63,773",,62515,,"1,258",,"506,768",,"495,677",,"22,535",,"22,090",,1266076,,"21,904,126",,72.3,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",MB,PT,7,,0,,14.07,,3.46,,3.29,,"290,297",,"320,678",,290233,,"30,445",,"22,116",,20633,,"1,483",,0,,0,,0,,0,,67906,,"235,100",,61.1,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",VP,DO,427,,0,,44.67,,41.47,,5.16,,0,,"5,705,170",,5705170,,0,,"127,705",,127705,,0,,0,,0,,0,,0,,658990,,"27,330,736",,0,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",MB,DO,354,,0,,13.05,,4.37,,10.85,,"14,666,312",,"16,441,488",,14656460,,"1,785,028",,"1,190,895",,1122949,,"67,946",,0,,0,,0,,0,,12182543,,"53,227,823",,"1,892.80",,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",LR,DO,89,,22,,17.19,,4.74,,23.19,,"6,112,222",,"6,204,641",,6114108,,"90,533",,"367,255",,355621,,"11,634",,"2,255,583",,"2,223,959",,"136,213",,"131,989",,8247364,,"39,122,864",,93.9,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",DR,PT,37,,0,,13.89,,11.11,,1.5,,0,,"965,749",,716520,,"249,229",,"65,734",,51597,,"14,137",,0,,0,,0,,0,,77279,,"858,863",,0,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",DR,DO,69,,0,,15.38,,9.47,,1.7,,0,,"1,258,140",,992876,,"265,264",,"85,030",,64577,,"20,453",,0,,0,,0,,0,,109833,,"1,040,065",,0,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",CR,DO,50,,9,,32.47,,25.64,,16.27,,"4,053,946",,"4,051,779",,4039581,,"12,198",,"128,674",,124396,,"4,278",,"1,067,699",,"1,064,546",,"33,846",,"32,741",,2024524,,"51,916,777",,174.5,,No
Utah Transit Authority,Salt Lake City,UT,8001,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,021,243","1,081",CB,DO,48,,0,,25.47,,21.4,,7.36,,"662,290",,"930,147",,660672,,"269,475",,"37,897",,25941,,"11,956",,0,,0,,0,,0,,190855,,"4,084,828",,612.9,,No
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,5118,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,066",CR,PT,527,,40,,30.93,,21.71,,18.98,,"16,284,231",,"16,302,662",,15388572,,"914,090",,"520,340",,497488,,"22,852",,"2,394,714",,"2,258,067",,"76,862",,"73,504",,9441882,,"205,006,670",,399.6,,No
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,5118,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208","1,066",CR,DO,539,,53,,29.08,,21.17,,13.88,,"16,028,080",,"15,585,872",,15273179,,"312,693",,"535,954",,525169,,"10,785",,"2,545,102",,"2,494,601",,"89,035",,"87,312",,7289149,,"154,329,520",,575.4,,No
MTA Long Island Rail Road,Jamaica,NY,2100,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","1,022",CR,DO,"1,022",,107,,29.21,,28.27, W ,20.57, W ,"61,301,708",,"68,469,245",,61766650,,"6,702,595",,"2,305,899",,2114409,,"191,490",,"7,765,181",,"6,968,685",,"266,731",,"199,752",,43484907, W ,"1,229,284,540",W,638.2,,Yes
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,9136,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,629,114","1,010",VP,PT,350,,0,,37.59, W ,36.97,,5.99, W ,0,,"5,362,722",,5362722,,0,,"142,647",,142647, W ,0,,0,,0,,0,,0,,853872,,"31,566,576",,0,,Yes
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,9136,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,629,114","1,010",MB,PT,323,,0,,12.5,,4.41, W ,10.86,,"12,753,383",,"15,235,195",,12810179,,"2,425,016",,"1,108,093",,1025220,,"82,873",,0,,0,,0,,0,,11137195,,"49,115,030",W,"1,930.90",,Yes
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,9136,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,"3,629,114","1,010",DR,TX,337,,0,,22.15,,11.11,,2.3,,0,,0,,4071104,,0,,0,,183835,,0,,0,,0,,0,,0,,422360,,"4,694,226",,0,,No
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212",996,LR,DO,149,,141,,9.5,,2.74,,76.58,,"4,944,335",,"4,660,934",,4640244,,"20,690",,"491,748",,488601,,"3,147",,"3,097,363",,"3,084,167",,"326,422",,"324,323",,37419416,,"102,607,757",,64.4,,No
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212",996,DR,PT,134,,0,,7.19,,6.81,,1.67,,0,,"1,779,136",,1328977,,"450,159",,"232,804",,184832,,"47,972",,0,,0,,0,,0,,309142,,"2,105,676",,0,,No
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212",996,TB,DO,195,,0,,6.09,,1.37, W ,53.5,,"4,444,171",,"4,889,861",,4339036,,"550,825",,"951,847",,712076,,"239,771",,0,,0,,0,,0,,38098301,,"52,097,781",W,163.3,,Yes
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212",996,CC,DO,27,,27,,1.84,,1.3,,39.31,,"369,554",,"192,689",,188083,,"4,606",,"103,291",,102082,,"1,209",,"192,689",,"188,083",,"103,291",,"102,082",,4012470,,"5,213,332",,8.8,,No
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212",996,SR,DO,22,,19,,5.4,,1.44,,66.28,,"464,492",,"373,191",,372942,,249,,"69,258",,69100,,158,,"373,191",,"372,942",,"69,258",,"69,100",,4580227,,"6,604,779",,18.7,,No
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",San Francisco,CA,9015,90015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,281,212",996,MB,DO,469,,0,,7.87,,2.05, W ,52.41,,"13,302,328",,"14,590,453",,12943156,,"1,647,297",,"1,953,188",,1644393,,"308,795",,0,,0,,0,,0,,86174760,,"176,249,299",W,681.2,,Yes
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",982,DR,TX,50,,0,,26.17,,11.6,,2.54,,0,,0,,763774,,0,,0,,29184,,0,,0,,0,,0,,0,,74190,,"860,546",,0,,No
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",982,DR,PT,223,,0,,12.57,,8.91,,1.71,,0,,"5,664,368",,4758336,,"906,032",,"437,651",,378450,,"59,201",,0,,0,,0,,0,,648375,,"5,776,264",,0,,No
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",982,YR,PT,4,,3,,21.4,,8.2,,41.09,,"142,716",,"143,841",,141871,,"1,970",,"7,531",,6628,,903,,"109,586",,"108,042",,"5,743",,"5,036",,272313,,"2,231,666",,29.2,,No
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",982,MB,DO,589,,0,,10.8,,3.43,,23.04,,"21,994,800",,"25,960,485",,21965871,,"3,994,614",,"2,205,560",,2033045,,"172,515",,0,,0,,0,,0,,46845589,,"160,875,204",,"1,344.50",,No
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet",Portland,OR,8,8,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,849,898",982,LR,DO,116,,55,,14.14,,5.26,,48.39,,"8,977,599",,"8,981,104",,8864217,,"116,887",,"636,882",,627025,,"9,857",,"4,501,055",,"4,442,373",,"319,090",,"314,140",,30343267,,"159,458,488",,118.9,,No
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,758,210",958,VP,PT,194,,0,,45.77, W ,53.37,,4.35, W ,0,,"3,859,763",,3859763,,0,,"84,338",,84338, W ,0,,0,,0,,0,,0,,366979,,"19,585,074",,0,,Yes
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,758,210",958,MB,DO,503,,0,,13.75,,4.07,,19.01,,"23,115,349",,"24,638,322",,22441891,,"2,196,431",,"1,730,593",,1632180,,"98,413",,0,,0,,0,,0,,31025007,,"126,379,708",,"2,556.40",,No
VIA Metropolitan Transit,San Antonio,TX,6011,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,"1,758,210",958,DR,TX,39,,0,,25.9,,11.81,,2.29,,0,,0,,103768,,0,,0,,4006,,0,,0,,0,,0,,0,,9185,,"108,440",,0,,No
